Timestamp,PM1.0 (std),PM2.5 (std),PM10 (std),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um
2025-02-12 15:31:31,3,3,3,3,3,3,576,173,12,1,0,0
2025-02-12 15:31:32,2,3,3,2,3,3,549,160,12,1,0,0
2025-02-12 15:31:33,2,3,3,2,3,3,549,160,12,1,0,0
2025-02-12 15:31:34,2,3,3,2,3,3,549,160,12,1,0,0
2025-02-12 15:31:35,2,2,2,2,2,2,561,163,8,1,0,0
2025-02-12 15:31:36,2,2,2,2,2,2,561,163,8,1,0,0
2025-02-12 15:31:37,2,2,2,2,2,2,561,163,8,1,0,0
2025-02-12 15:31:38,1,2,2,1,2,2,537,157,8,1,0,0
2025-02-12 15:31:39,2,3,3,2,3,3,537,157,8,1,0,0
2025-02-12 15:31:40,2,3,3,2,3,3,537,157,8,1,0,0
2025-02-12 15:31:41,2,3,3,2,3,3,561,161,9,1,0,0
2025-02-12 15:31:42,2,3,3,2,3,3,561,161,9,1,0,0
2025-02-12 15:31:43,2,3,3,2,3,3,561,161,9,1,0,0
2025-02-12 15:31:44,2,3,3,2,3,3,552,157,12,1,0,0
2025-02-12 15:31:45,2,3,3,2,3,3,552,157,12,1,0,0
2025-02-12 15:31:46,2,3,3,2,3,3,552,157,12,1,0,0
2025-02-12 15:31:47,2,3,3,2,3,3,528,149,11,1,0,0
2025-02-12 15:31:48,2,3,3,2,3,3,528,149,11,1,0,0
2025-02-12 15:31:49,2,3,3,2,3,3,528,149,11,1,0,0
2025-02-12 15:31:50,2,3,3,2,3,3,510,143,13,1,0,0
2025-02-12 15:31:51,2,3,3,2,3,3,510,143,13,1,0,0
2025-02-12 15:31:52,2,3,3,2,3,3,510,143,13,1,0,0
2025-02-12 15:31:53,2,3,3,2,3,3,516,145,14,1,0,0
2025-02-12 15:31:54,2,3,3,2,3,3,516,145,14,1,0,0
2025-02-12 15:31:55,2,3,3,2,3,3,516,145,14,1,0,0
2025-02-12 15:31:56,2,3,3,2,3,3,528,153,11,1,0,0
2025-02-12 15:31:57,2,3,3,2,3,3,528,153,11,1,0,0
2025-02-12 15:31:58,2,3,3,2,3,3,528,153,11,1,0,0
2025-02-12 15:31:59,2,3,3,2,3,3,522,149,11,1,0,0
2025-02-12 15:32:00,2,3,3,2,3,3,522,149,11,1,0,0
